"","age","total_children","feelings_life","sex","place_birth_canada","marital_status","vis_minority","citizenship_status","education","average_hours_worked","self_rated_health","self_rated_mental_health","language_home","language_knowledge","occupation","income_respondent"
"15849",33.3,2,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English","English only","Occupations in education, law and social, community and ...","4"
"15852",51.7,0,8,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Excellent","French","Both English and French","Business, finance, and administration occupations","2"
"15853",61.6,2,5,"Male","Born in Canada","Divorced","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Good","French","French only","Trades, transport and equipment operators and related oc...","3"
"15856",47.2,2,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","Less than high school diploma or its equivalent","30.0 to 40.0 hours","Very good","Good","English","English only","Trades, transport and equipment operators and related oc...","4"
"15859",51.4,1,7,"Male","Born outside Canada","Married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Very good","French and non-official language","French only","Sales and service occupations","2"
"15860",34.8,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","Don't know","Very good","Very good","English","English only","Occupations in education, law and social, community and ...","1"
"15862",49.5,2,6,"Female","Born in Canada","Separated","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Very good","English","English only","Business, finance, and administration occupations","2"
"15863",58.3,3,7,"Female","Born in Canada","Separated","Not a visible minority","By birth","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Good","Good","English","English only","Trades, transport and equipment operators and related oc...","2"
"15865",56,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Very good","Very good","English","English only","Business, finance, and administration occupations","3"
"15866",38.6,2,9,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Good","Good","English","English only","Occupations in manufacturing and utilities","1"
"15867",68.1,1,8,"Female","Born outside Canada","Widowed","Not a visible minority","By naturalization","Trade certificate or diploma","40.1 to 50.0 hours","Fair","Very good","English","English only","Management occupations","1"
"15868",23.6,0,7,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Very good","Excellent","English","English only","Sales and service occupations","2"
"15869",30.6,1,10,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Good","French","Both English and French","Health occupations","3"
"15870",59.7,2,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Very good","English","English only","Trades, transport and equipment operators and related oc...","1"
"15871",54.9,0,7,"Female","Born in Canada","Separated","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Excellent","English","English only","Business, finance, and administration occupations","3"
"15872",46.9,2,10,"Male","Born outside Canada","Living common-law","Visible minority","By naturalization","High school diploma or a high school equivalency certificate","50.1 hours and more","Very good","Very good","English and non-official language","English only","Trades, transport and equipment operators and related oc...","3"
"15875",25.8,0,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","0.1 to 29.9 hours","Very good","Very good","English","English only","Health occupations","3"
"15877",47.8,2,8,"Male","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Very good","Very good","English","Both English and French","Sales and service occupations","3"
"15879",30.2,2,10,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","Don't know","Excellent","Excellent","English","English only","Sales and service occupations","4"
"15880",53.1,1,10,"Female","Born in Canada","Widowed","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Excellent","Excellent","English","English only","Health occupations","3"
"15882",40.8,3,6,"Female","Born in Canada","Separated","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Excellent","Very good","French","French only","Health occupations","4"
"15883",38.7,2,10,"Female","Born outside Canada","Separated","Visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Excellent","Very good","English","English only","Sales and service occupations","3"
"15884",29.1,0,10,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","Trade certificate or diploma","40.1 to 50.0 hours","Very good","Excellent","English","English only","Trades, transport and equipment operators and related oc...","3"
"15885",31,1,8,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Excellent","English","English only","Occupations in education, law and social, community and ...","3"
"15887",46.3,1,8,"Female","Born outside Canada","Divorced","Visible minority","By naturalization","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Sales and service occupations","3"
"15888",51.8,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Good","Good","English","English only","Business, finance, and administration occupations","3"
"15889",49.8,2,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English, French and non-official language","English only","Sales and service occupations","2"
"15890",31.3,0,8,"Male","Born in Canada","Married","Visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English and non-official language","English only","Natural and applied sciences and related occupations","3"
"15891",55.8,0,8,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Fair","Good","English","English only","Natural resources, agriculture and related production oc...","2"
"15895",43.3,5,9,"Male","Born in Canada","Married","Not a visible minority","By birth","Trade certificate or diploma","40.1 to 50.0 hours","Very good","Excellent","English","English only","Trades, transport and equipment operators and related oc...","4"
